Test Name, Train f1 Score, Test f1 Score
Logistic: Tf-Idf, All Features, 0.644135092999, 0.551777138329
SVM: All Features, 0.718949209034, 0.548808791845
Logistic: K-Best, All Features, 0.6723137135, 0.620546475797
SVM: Tf-Idf, All Features, 0.333174185135, 0.289241144324
Logistic: K-Best, Text Only, 0.659157548127, 0.604375528849
SVM: K-Best, Text Only, 0.658237498346, 0.598463328265
Mult. Bayes: Tf-Idf, Text Only, 0.101202234667, 0.0193098409382
Logistic: Text Only, 0.884888055319, 0.61678104966
Mult. Bayes: Tf-Idf, All Features, 0.348009412083, 0.32161211468
SVM: Text Only, 0.918864025925, 0.609591090475
Mult. Bayes: K-Best, Text Only, 0.492078337973, 0.438609031065
Logistic: All Features, 0.885399224813, 0.63360809492
Mult. Bayes: K-Best, All Features, 0.368285768157, 0.353564443063
Mult. Bayes: Text Only, 0.625520683093, 0.470506691436
SVM: K-Best, All Features, 0.494655153734, 0.459752377818
Logistic: Tf-Idf, Text Only, 0.594946611236, 0.476297012139
Mult. Bayes: All Features, 0.432871185135, 0.371820547994
SVM: Tf-Idf, Text Only, 0.667998212241, 0.517005317418
